物件名,住所,交通,築年数,部屋名,賃料,敷金,礼金,占有面積,間取り,所在階,向き,画像
レフィールオーブ町屋駅前,東京都荒川区荒川6丁目1番1号,東京メトロ千代田線 町屋駅 徒歩 1 分,2022年1月,レフィールオーブ町屋駅前 706,"21.3万円(15,000円)",無,無,50.21m²,2LDK,7階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F116846%252Frent%252F275981%252F1%252F1%252Fhi36.jpg&width=100&height=100
レフィールオーブ町屋駅前,東京都荒川区荒川6丁目1番1号,東京メトロ千代田線 町屋駅 徒歩 1 分,2022年1月,レフィールオーブ町屋駅前,"21.35万円(15,000円)",無,無,50.23m²,2LDK,8階,東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F5051%252Frent%252F201504%252F1%252F1%252F9m3v.jpg&width=100&height=100
レフィールオーブ町屋駅前,東京都荒川区荒川6丁目1番1号,東京メトロ千代田線 町屋駅 徒歩 1 分,2022年1月,レフィールオーブ町屋駅前 1003,"21.4万円(15,000円)",無,無,50.21m²,2LDK,10階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F116846%252Frent%252F275991%252F1%252F1%252Fswxs.jpg&width=100&height=100
レフィールオーブ町屋駅前,東京都荒川区荒川6丁目1番1号,東京メトロ千代田線 町屋駅 徒歩 1 分,2022年1月,レフィールオーブ町屋駅前 801,"21.4万円(15,000円)",無,無,50.23m²,2LDK,8階,東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F127689%252Frent%252F165311%252F1%252F1%252F9k9g.jpg&width=100&height=100
レフィールオーブ町屋駅前,東京都荒川区荒川6丁目1番1号,東京メトロ千代田線 町屋駅 徒歩 1 分,2022年1月,レフィールオーブ町屋駅前 1403,"21.45万円(15,000円)",無,無,50.21m²,2LDK,14階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F116846%252Frent%252F275992%252F1%252F1%252F6w69.jpg&width=100&height=100
レフィールオーブ町屋駅前,東京都荒川区荒川6丁目1番1号,東京メトロ千代田線 町屋駅 徒歩 1 分,2022年1月,レフィールオーブ町屋駅前,"21.45万円(15,000円)",無,無,50.21m²,2LDK,13階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F121222%252Frent%252F223726%252F1%252F2%252Fmdwa.jpg&width=100&height=100
レフィールオーブ町屋駅前,東京都荒川区荒川6丁目1番1号,東京メトロ千代田線 町屋駅 徒歩 1 分,2022年1月,レフィールオーブ町屋駅前 804,"21.9万円(15,000円)",無,無,50.21m²,2LDK,8階,西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F132062%252Frent%252F313713%252F1%252F2%252F58bu.jpg&width=100&height=100
レフィールオーブ町屋駅前,東京都荒川区荒川6丁目1番1号,東京メトロ千代田線 町屋駅 徒歩 1 分,2022年1月,レフィールオーブ町屋駅前,"22万円(15,000円)",無,無,50.23m²,2LDK,7階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F147374%252Frent%252F46308%252F1%252F1%252Fvqzm.jpg&width=100&height=100
レフィールオーブ町屋駅前,東京都荒川区荒川6丁目1番1号,東京メトロ千代田線 町屋駅 徒歩 1 分,2022年1月,レフィールオーブ町屋駅前,"22.1万円(15,000円)",無,無,50.23m²,2LDK,8階,東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F147374%252Frent%252F46307%252F1%252F1%252Flx56.jpg&width=100&height=100
レフィールオーブ町屋駅前,東京都荒川区荒川6丁目1番1号,東京メトロ千代田線 町屋駅 徒歩 1 分,2022年1月,レフィールオーブ町屋駅前 1501,"22.3万円(15,000円)",無,無,50.23m²,2LDK,15階,東,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F128814%252Frent%252F285812%252F1%252F2%252Femnr.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋,"22.6万円(15,000円)",無,無,55.36m²,2LDK,8階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F103587%252Frent%252F25250%252F1%252F1%252Fyvcw.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋 1001,"22.6万円(15,000円)",無,無,55.36m²,2LDK,10階,西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F5597%252Frent%252F165812%252F1%252F2%252Fcpnu.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋 1101,"22.7万円(15,000円)",無,無,55.36m²,2LDK,11階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F150538%252Frent%252F63596%252F1%252F1%252Fegzp.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋 1003,"22.8万円(15,000円)",無,無,55.36m²,2LDK,10階,西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F150538%252Frent%252F63617%252F1%252F1%252Fyfxf.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋 1201,"22.8万円(15,000円)",無,無,55.36m²,2LDK,12階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F5597%252Frent%252F165813%252F1%252F2%252F1jum.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋,"22.9万円(15,000円)",無,無,56.16m²,1SLDK,10階,西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F103587%252Frent%252F25249%252F1%252F1%252F7zhu.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋 1202,"23万円(15,000円)",無,無,56.16m²,1SLDK,12階,西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F5597%252Frent%252F165815%252F1%252F2%252Fzqkp.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋 1301,"23.1万円(15,000円)",無,無,55.36m²,2LDK,13階,西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F127689%252Frent%252F165177%252F1%252F1%252Fozli.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋 1002,"23.1万円(15,000円)",無,無,56.16m²,2LDK,10階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F150538%252Frent%252F65061%252F1%252F1%252Fmq7c.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋 1302,"23.3万円(15,000円)",無,無,56.16m²,2LDK,13階,西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F105197%252Frent%252F309022%252F1%252F2%252Fpa5h.jpg&width=100&height=100
グランカーサ町屋,東京都荒川区荒川4丁目39番9号,京成本線 町屋駅 徒歩 5 分,2025年1月,グランカーサ町屋 1501,"24.1万円(15,000円)",無,無,55.36m²,2LDK,15階,西,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F127689%252Frent%252F165180%252F1%252F1%252F71kz.jpg&width=100&height=100
カスタリア荒川,東京都荒川区荒川2丁目3番1号,都電荒川線 荒川区役所前駅 徒歩 2 分,2007年3月,カスタリア荒川,"14.8万円(10,000円)",1ヶ月,1ヶ月,41.76m²,1LDK,12階,南西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252Fd964079e-5f0f-4641-adb8-553bdcb1546a_property_picture_4104_large.jpg&width=100&height=100
カスタリア荒川,東京都荒川区荒川2丁目3番1号,都電荒川線 荒川区役所前駅 徒歩 2 分,2007年3月,カスタリア荒川,"15.2万円(10,000円)",1ヶ月,1ヶ月,46.28m²,1LDK,4階,南,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F6c4a2cc8-4b6a-4707-a05c-83cc51216332_property_picture_4104_large.jpg&width=100&height=100
カスタリア荒川,東京都荒川区荒川2丁目3番1号,都電荒川線 荒川区役所前駅 徒歩 2 分,2007年3月,カスタリア荒川,"21.7万円(10,000円)",1ヶ月,1ヶ月,60m²,2LDK,12階,南西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252Fa26713a9-e3fd-4a5a-a9e2-a1ce0ebf0e23_property_picture_4104_large.jpg&width=100&height=100
カスタリア荒川,東京都荒川区荒川2丁目3番1号,都電荒川線 荒川区役所前駅 徒歩 2 分,2007年3月,カスタリア荒川,"22.2万円(10,000円)",1ヶ月,1ヶ月,62.01m²,2LDK,11階,南西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252Fb197491f-7188-44f6-a2eb-c9acbffbe209_property_picture_4104_large.jpg&width=100&height=100
カスタリア荒川,東京都荒川区荒川2丁目3番1号,都電荒川線 荒川区役所前駅 徒歩 2 分,2007年3月,カスタリア荒川,"22.4万円(10,000円)",1ヶ月,1ヶ月,61.23m²,2LDK,13階,南西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F2cd2eb53-ecd3-4fff-93a8-b4081f6e91e7_property_picture_4104_large.jpg&width=100&height=100
nido南千住,東京都荒川区南千住7丁目,,2024年1月,nido南千住 0308,"12.3万円(15,000円)",無,無,32.04m²,1LDK,3階,南東,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F153127%252Frent%252F8608%252F1%252F2%252Fzk4e.jpg&width=100&height=100
nido南千住,東京都荒川区南千住7丁目,,2024年1月,nido南千住 0502,"14.3万円(15,000円)",無,無,35.95m²,1LDK,5階,北西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F153127%252Frent%252F8362%252F1%252F2%252Fzape.jpg&width=100&height=100
nido南千住,東京都荒川区南千住7丁目,,2024年1月,nido南千住 0301,"16.7万円(20,000円)",無,無,45.06m²,2LDK,3階,北西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F153127%252Frent%252F7584%252F1%252F2%252Fijmq.jpg&width=100&height=100
nido南千住,東京都荒川区南千住7丁目,,2024年1月,nido南千住,"16.8万円(20,000円)",無,無,45.06m²,2LDK,4階,北西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F3eafe526-48b8-4584-b299-aecee19bebe8_property_picture_4104_large.jpg&width=100&height=100
nido南千住,東京都荒川区南千住7丁目,,2024年1月,nido南千住 0204,"18.3万円(20,000円)",無,無,49.27m²,2LDK,2階,南西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F153127%252Frent%252F8361%252F1%252F2%252Fsnqq.jpg&width=100&height=100
nido南千住,東京都荒川区南千住7丁目,,2024年1月,nido南千住 1306,"20.1万円(20,000円)",無,無,52.36m²,2LDK,13階,南東,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F153127%252Frent%252F8150%252F1%252F2%252F4qqx.jpg&width=100&height=100
nido南千住,東京都荒川区南千住7丁目,,2024年1月,nido南千住 1003,"21.5万円(20,000円)",無,無,60.09m²,3LDK,10階,北西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttps%253A%252F%252Fimg-dk.s3-ap-northeast-1.amazonaws.com%252Fimg%252Froom%252F4181%252F4181769%252F4181769_1.jpg&width=100&height=100
nido南千住,東京都荒川区南千住7丁目,,2024年1月,nido南千住 1103,"21.7万円(20,000円)",無,無,60.09m²,3LDK,11階,北西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F153127%252Frent%252F9507%252F1%252F2%252Fdohz.jpg&width=100&height=100
nido南千住,東京都荒川区南千住7丁目,,2024年1月,nido南千住 0205,"22.5万円(20,000円)",無,無,67.34m²,3LDK,2階,南東,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttps%253A%252F%252Fimg-dk.s3-ap-northeast-1.amazonaws.com%252Fimg%252Froom%252F5195%252F5195235%252F5195235_1.jpg&width=100&height=100
nido南千住,東京都荒川区南千住7丁目,,2024年1月,nido南千住 0205,"22.5万円(20,000円)",無,無,67.35m²,3LDK,2階,南東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F153127%252Frent%252F8672%252F1%252F2%252Fj17w.jpg&width=100&height=100
カスタリア,東京都荒川区荒川2丁目,,2007年2月,カスタリア荒川,"14.8万円(10,000円)",1ヶ月,1ヶ月,41.76m²,1LDK,12階,南西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252Fd964079e-5f0f-4641-adb8-553bdcb1546a_property_picture_4104_large.jpg&width=100&height=100
カスタリア,東京都荒川区荒川2丁目,,2007年2月,カスタリア荒川,"15.2万円(10,000円)",1ヶ月,1ヶ月,46.28m²,1LDK,4階,南,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F6c4a2cc8-4b6a-4707-a05c-83cc51216332_property_picture_4104_large.jpg&width=100&height=100
カスタリア,東京都荒川区荒川2丁目,,2007年2月,カスタリア荒川,"21.7万円(10,000円)",1ヶ月,1ヶ月,60m²,2LDK,12階,南西,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252Fa26713a9-e3fd-4a5a-a9e2-a1ce0ebf0e23_property_picture_4104_large.jpg&width=100&height=100
カスタリア,東京都荒川区荒川2丁目,,2007年2月,カスタリア荒川,"22.2万円(10,000円)",1ヶ月,1ヶ月,62.01m²,2LDK,11階,南西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252Fb197491f-7188-44f6-a2eb-c9acbffbe209_property_picture_4104_large.jpg&width=100&height=100
カスタリア,東京都荒川区荒川2丁目,,2007年2月,カスタリア荒川,"22.4万円(10,000円)",1ヶ月,1ヶ月,61.23m²,2LDK,13階,南西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F2cd2eb53-ecd3-4fff-93a8-b4081f6e91e7_property_picture_4104_large.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 207,"13.6万円(15,000円)",1ヶ月,無,34.64m²,1LDK,2階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F5597%252Frent%252F165767%252F1%252F2%252Fyxdv.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 506,"13.8万円(15,000円)","138,000円","138,000円",34.64m²,1LDK,5階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F103587%252Frent%252F25099%252F1%252F1%252F88ms.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 506,"13.8万円(15,000円)",1ヶ月,1ヶ月,34.64m²,1LDK,2階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F111440%252Frent%252F170464%252F1%252F2%252Fczon.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 602,"13.9万円(15,000円)",1ヶ月,1ヶ月,34.64m²,1LDK,6階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F356d089d-7c21-4ddf-9d48-26d3b114e7c7_property_picture_3129_large.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 905,"23.7万円(20,000円)",1ヶ月,1ヶ月,56.4m²,2SLDK,9階,東,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F127689%252Frent%252F165114%252F1%252F1%252F217i.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 201,"24.9万円(20,000円)",1ヶ月,1ヶ月,64.4m²,3LDK,2階,南,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F120683%252Frent%252F194114%252F1%252F1%252Fdo8h.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 1102,"25.8万円(20,000円)",1ヶ月,無,67.65m²,3LDK,11階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F6da9236c-1e9e-4eb8-9ccf-53713577ab4b_property_picture_691_large.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋,"26.1万円(20,000円)",1ヶ月,1ヶ月,67.65m²,3LDK,14階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F38f3443a-1271-4492-ba3a-84aa4b00ca59_property_picture_4104_large.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目39番1号,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 207,"13.6万円(15,000円)",1ヶ月,無,34.64m²,1LDK,2階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F5597%252Frent%252F165767%252F1%252F2%252Fyxdv.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目39番1号,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 506,"13.8万円(15,000円)","138,000円","138,000円",34.64m²,1LDK,5階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F103587%252Frent%252F25099%252F1%252F1%252F88ms.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目39番1号,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 506,"13.8万円(15,000円)",1ヶ月,1ヶ月,34.64m²,1LDK,2階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F111440%252Frent%252F170464%252F1%252F2%252Fczon.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目39番1号,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 602,"13.9万円(15,000円)",1ヶ月,1ヶ月,34.64m²,1LDK,6階,西,/img/?image=https%3A%2F%2Fimage4.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F356d089d-7c21-4ddf-9d48-26d3b114e7c7_property_picture_3129_large.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目39番1号,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 905,"23.7万円(20,000円)",1ヶ月,1ヶ月,56.4m²,2SLDK,9階,東,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F127689%252Frent%252F165114%252F1%252F1%252F217i.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目39番1号,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 201,"24.9万円(20,000円)",1ヶ月,1ヶ月,64.4m²,3LDK,2階,南,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F120683%252Frent%252F194114%252F1%252F1%252Fdo8h.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目39番1号,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋 1102,"25.8万円(20,000円)",1ヶ月,無,67.65m²,3LDK,11階,西,/img/?image=https%3A%2F%2Fimage2.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F6da9236c-1e9e-4eb8-9ccf-53713577ab4b_property_picture_691_large.jpg&width=100&height=100
アヴァンカーサ町屋,東京都荒川区荒川4丁目39番1号,京成本線 町屋駅 徒歩 4 分,2023年8月,アヴァンカーサ町屋,"26.1万円(20,000円)",1ヶ月,1ヶ月,67.65m²,3LDK,14階,東,/img/?image=https%3A%2F%2Fimage1.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F38f3443a-1271-4492-ba3a-84aa4b00ca59_property_picture_4104_large.jpg&width=100&height=100
ONEROOFRESIDENCENISHINIPPORI,東京都荒川区西日暮里5丁目9番12号,JR山手線 西日暮里駅 徒歩 2 分,2024年7月,ONE ROOF RESIDENCE NISHINIPPORI,"13.1万円(12,000円)",1ヶ月,無,25.9m²,1DK,6階,-,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F132062%252Frent%252F311423%252F1%252F2%252F6vg0.jpg&width=100&height=100
ONEROOFRESIDENCENISHINIPPORI,東京都荒川区西日暮里5丁目9番12号,JR山手線 西日暮里駅 徒歩 2 分,2024年7月,ONE ROOF RESIDENCE NISHINIPPORI 1501,"26.1万円(18,000円)","261,000円",無,50.23m²,2LDK,15階,-,/img/?image=https%3A%2F%2Fimage3.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F5ef48efc-66b0-4bfb-8a64-4ea2b349c6dd_property_picture_688_large.jpg&width=100&height=100
ONEROOFRESIDENCENISHINIPPORI,東京都荒川区西日暮里5丁目9番12号,JR山手線 西日暮里駅 徒歩 2 分,2024年7月,ONE ROOF RESIDENCE NISHINIPPORI 1504,"27.1万円(18,000円)",1ヶ月,無,51.59m²,2LDK,15階,-,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F128814%252Frent%252F286017%252F1%252F2%252Fv9yn.jpg&width=100&height=100
ONEROOFRESIDENCENISHINIPPORI,東京都荒川区西日暮里5丁目9番12号,JR山手線 西日暮里駅 徒歩 2 分,2024年7月,ONE ROOF RESIDENCE NISHINIPPORI 1505,"28万円(18,000円)","280,000円",無,51.8m²,2LDK,15階,南西,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimage.homes.renters.jp%252F523023b7-5c3d-4285-9701-1c186ecd2626_property_picture_688_large.jpg&width=100&height=100
ONEROOFRESIDENCENISHINIPPOR,東京都荒川区西日暮里5丁目9番12号,JR山手線 西日暮里駅 徒歩 2 分,2024年7月,ONE ROOF RESIDENCE NISHINIPPORI,"13.1万円(12,000円)",1ヶ月,無,25.9m²,1DK,6階,-,/img/?image=https%3A%2F%2Fimage.homes.jp%2Fsmallimg%2Fimage.php%3Ffile%3Dhttp%253A%252F%252Fimg.homes.jp%252F132062%252Frent%252F311423%252F1%252F2%252F6vg0.jpg&width=100&height=100
